Name,Note,Domains,Checkbox,url,Category,Number,Date,Phone
Flashpoint,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sinte.,webs.com,RED,https://wsj.com/turpis/eget,Freshman,77.2,10/3/2014,4-(264)811-2708
Zooxo,Integer non velit. Donec diam neque vestibulum,homestead.com,no,https://home.pl/augue/vestibulum/rutrum/rutrum/neque.xml,Tenth,74.8,4/9/2014,5-(046)401-7891
Zooxo,"Proin at turpis a pede posuere nonummy. ",livejournal.com,yes,https://illinois.edu/cum/sociis.json,Third,,,0-(170)051-9262
Brainsphere,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",prweb.com,no,https://multiply.com/imperdiet/nullam/orci/pede/venenatis/non.js,Zimbabwe,84.35,3/15/2014,9-(282)787-0209
Realfire,Duis ac nibh.,freshdesk.com,yes,http://sogou.com/turpis/nec.png,China,66.24,2/14/2015,9-(428)674-0963
Quamba,Etiam faucibus cursus urna.,bluehost.com,no,businessinsider.com,Sweden,65.42,10/1/2014,7-(084)286-3273
Twitterbridge,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. ",ca.gov,no,https://yellowbook.com/vestibulum/ante/ipsum/primis/in/faucibus.jpg,Slovenia,53.61,11/16/2014,6-(053)698-0622
Layo,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio.",nifty.com,TRUE,http://phpbb.com/sapien/cum/sociis/natoque/penatibus/et.xml,Iraq,88.57,7/27/2014,5-(839)045-7266
Devbug,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",reuters.com,yes,simplemachines.org,Second,51,5/7/2014,8-(537)056-7476
Shuffledrive,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,meetup.com,TRUE,http://marketwatch.com,First,31.15,12/10/2014,4-(631)657-2379
